"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87"
"WILLIAMS (D MS-8)",NA,0,0,0,0,NA,0,1,0,1,1,1,0,NA,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,NA,0,0,0,0,1,0,0,0,1,NA,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,NA,0,0,0,1,1,NA,0
"LLOYD (D MO-1)",1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,NA,1,0,0,1,1,1,0,1,0,1,1,1,0,NA,NA,1,0,1,0,NA,NA,NA,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0
"RUCKER (D MO-2)",1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,NA,1,1,0,1,1,0,0,1,NA,0,0,0,1,NA,0,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,1,1,1,1,0,0,NA,0,NA,0,0,0,1,1,NA,1,0,0,NA,1,0,NA,1,1,NA,NA
"DOUGHERTY (D MO-3)",1,0,0,0,0,0,0,1,0,1,NA,NA,NA,1,0,0,1,0,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,NA,1,0,NA,NA,0,0,1,1,1,1,NA
"COCHRAN (D MO-4)",1,0,0,0,0,0,NA,NA,NA,NA,1,1,0,0,0,0,1,0,0,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,1,NA,0,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,NA,0,NA,0,1,0,0,0,1,NA,0,1,0,0,1,NA,NA,NA,NA,NA,1,NA
"COWHERD (D MO-5)",1,0,0,0,0,0,1,1,NA,NA,NA,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,NA,0,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NA,0,NA,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,NA,1,1,1,0
"DEARMOND (D MO-6)",1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,NA,1,0,1,0,NA,1,1,NA,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,0,0,0,0,1,1,1,1,0,0,0,0,NA,0,0,0,1,1,NA,1,0,NA,NA,0,1,0,1,1,0,0
"HAMLIN (D MO-7)",1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,1,0,0,1,1,NA,0,1,0,NA,1,1,0,1,1,0,0,1,NA,0,0,0,NA,NA,0,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,0,1,1,1,1,0,0,0,0,1,NA,0,0,1,1,NA,1,0,0,NA,0,1,NA,1,1,1,NA
"SHACKLEFORD (D MO-8)",1,0,0,0,0,0,NA,NA,0,1,NA,NA,NA,1,0,0,NA,NA,NA,1,1,1,NA,NA,0,NA,1,1,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,1,0,0,1,0,0,0,NA,0,1,0,0,0,0,0,NA,0,0,0,1,1,1,1,0,0,NA,0,1,NA,0,0,1,1,NA,1,0,0,1,1,0,0,NA,1,0,NA
"CLARK (D MO-9)",1,0,0,0,NA,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,NA,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,0,0,0,0,1,1,1,1,0,NA,NA,NA,1,0,0,0,1,1,NA,NA,NA,NA,1,0,0,0,1,1,1,0
"BARTHOLDT (R MO-10)",1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,0,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,NA,0,1,1,1,NA,NA,1,1,1,0,1,1,0,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,1,0,0,0,NA,NA,1,1,0,1,1,1,1,0,1,0,1,1,1,NA,1,0,NA,0,0,1,1
"HUNT (D MO-11)",1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,1,1,0,0,0,NA,1,1,0,0,0,1,1,NA,1,0,0,1,0,1,1,1,1,1,0
"BUTLER (D MO-12)",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROBB (D MO-13)",1,0,0,0,0,NA,0,1,0,1,1,1,0,1,0,NA,1,0,0,1,1,1,0,1,NA,1,1,1,NA,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,NA,1,0,0,NA,0,0,1,NA,1,NA,NA
"VANDIVER (D MO-14)",1,NA,0,0,0,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,NA,0,NA,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,1,1,1,0
"BENTON (D MO-15)",1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,1,1,NA,0,1,0,1,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,0,1,0,1,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,1,1,1,NA,0,0,0,NA,NA,0,0,0,1,1,NA,1,0,0,NA,1,1,NA,1,1,NA,NA
"LAMAR (D MO-16)",1,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,0,1,0,1,1,1,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,NA,0,1,0,NA,0,0,0,1,0,0,0,NA,NA,0,0,NA,0,1,1,1,NA,NA,0,0,0,1,1,0,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA
"DIXON (R MT-1)",1,1,1,1,1,NA,1,NA,1,NA,NA,0,1,NA,1,NA,0,1,1,1,NA,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,NA,NA,1,1,0,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,0,NA,1,1,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,0,1,1,1,1,1,0,1,0,NA,0,0,1,1
"BURKETT (R NE-1)",1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,NA,1,1,1,NA,NA,0,1,NA,NA,0,NA,1,1,1,1,1,0,1,1,1,NA,NA,1,0,1,1,1,1,1,0,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,0,1,NA,NA,1,1,0,1,0,0,0,0,0,1
"HITCHCOCK (D NE-2)",1,0,0,0,0,0,0,1,NA,1,NA,1,0,0,0,0,1,0,0,0,1,1,NA,NA,0,NA,1,1,1,NA,1,0,0,1,0,0,0,0,1,NA,0,0,0,0,0,1,0,NA,0,0,0,1,0,NA,0,0,0,NA,NA,NA,0,1,1,1,NA,0,0,0,NA,1,1,0,0,1,1,NA,NA,NA,NA,1,NA,0,NA,1,1,1,0
"MCCARTHY (R NE-3)",1,1,1,1,1,1,1,0,NA,0,NA,0,1,NA,1,1,0,1,1,0,NA,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,1,0,1,0,1,0,NA,0,1,NA,1,NA,1,NA,1,1,0,1,NA,0,1,NA,1,1,0,NA,NA,1,1,0,1,NA,NA,1,1,0,NA,0,NA,0,0,1,NA
"HINSHAW (R NE-4)",1,1,1,1,1,1,1,0,NA,0,0,0,1,0,1,1,0,1,1,0,NA,0,1,1,1,NA,0,0,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,1,1,1,0,0,0,1,1,NA,1,0,NA,1,1,1,0,1,1,1,1,1,0,1,0,NA,0,0,0,1
"NORRIS (R NE-5)",1,1,1,1,1,1,1,0,1,0,NA,NA,NA,0,1,1,0,1,1,0,NA,0,1,1,1,1,NA,0,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,0,1,0,1,1,1,0,NA,NA,0,1,1,0,0,0,1,1,1,1,0,1,NA,1,1,0,1,1,NA,1,1,0,NA,0,NA,0,NA,0,NA
"KINKAID (R NE-6)",1,1,1,1,1,1,1,0,NA,0,NA,0,1,NA,1,1,0,1,1,0,0,0,1,1,1,NA,NA,NA,1,1,1,NA,1,0,1,NA,1,1,0,1,1,1,0,NA,1,0,1,NA,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,NA,1,0,1,1,1,1,0,1,1,1,1,1,NA,1,0,NA,0,0,1,NA
"VAN (D NV-1)",1,0,NA,NA,0,0,0,1,NA,NA,1,1,0,1,NA,NA,1,0,0,1,NA,1,0,1,NA,1,1,1,NA,1,1,1,0,1,0,0,0,0,NA,NA,0,0,0,0,0,1,0,NA,0,0,0,1,0,1,1,0,0,0,1,NA,0,1,1,1,0,NA,0,NA,1,NA,1,NA,0,1,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0
"SULLOWAY (R NH-1)",1,1,1,1,1,1,1,0,1,0,0,0,1,NA,1,1,0,1,1,NA,0,0,1,1,1,0,NA,0,1,1,NA,NA,NA,0,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,0,0,1,1,1,1,0,NA,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1
"CURRIER (R NH-2)",1,1,1,1,1,NA,1,NA,1,0,NA,NA,NA,0,1,1,0,1,1,1,0,0,1,1,1,1,NA,NA,NA,0,0,1,1,0,NA,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,NA,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,NA,1
"LOUDENSLAGE (R NJ-1)",1,1,1,1,1,NA,1,0,NA,NA,NA,0,1,1,1,1,0,1,1,1,NA,0,1,1,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,0,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,1,0,0,0,1,0,1,1,0,NA,NA,1,1,0,1,NA,1,1,1,0,1,0,1,0,NA,1,1
"GARDNER (R NJ-2)",1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0,1,NA,NA,0,NA,0,1,1,1,1,0,1,1,1,0,NA,1,0,1,1,1,1,1,0,1,1,1,1,NA,1,NA,NA,1,0,0,0,NA,NA,1,1,0,0,NA,NA,1,0,0,NA,NA,1,NA,NA,NA,NA,1,0,0,NA,1
"HOWELL (R NJ-3)",1,1,1,1,1,NA,1,0,1,0,NA,0,1,NA,NA,1,0,1,1,0,NA,0,1,1,1,NA,0,0,1,0,0,0,1,0,1,1,1,1,NA,1,1,1,1,NA,1,0,1,NA,1,1,1,0,1,NA,0,1,1,NA,NA,NA,1,0,0,0,1,1,1,1,0,0,NA,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,NA
"LANNING (R NJ-4)",1,1,1,1,1,NA,1,0,1,0,0,0,1,0,NA,NA,1,0,0,0,0,0,1,1,1,NA,0,0,1,NA,NA,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOOD (R NJ-4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,NA,NA,0,1
"FOWLER (R NJ-5)",NA,NA,NA,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,1,1,NA,0,0,0,NA
"HUGHES (D NJ-6)",1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,NA,NA,1,NA,1,NA,1,NA,NA,0,0,0,0,1,0,0,0,0,0,0,1,0,NA,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,1,1,1,NA,NA,0,0,1,1,0,0,0,1,1,NA,1,0,0,NA,0,1,1,1,1,1,0
"PARKER (R NJ-7)",1,1,1,1,1,1,1,0,1,0,0,0,1,0,NA,1,NA,0,0,0,0,NA,1,1,1,1,0,0,1,0,0,NA,1,0,1,1,1,1,0,1,1,1,1,1,1,NA,1,NA,NA,NA,1,0,NA,1,NA,NA,1,1,NA,NA,1,0,0,0,1,1,NA,NA,0,1,NA,1,1,0,1,1,1,1,1,0,NA,NA,0,0,0,0,1
"WILEY (R NJ-8)",1,1,1,1,1,1,1,0,1,0,NA,0,1,0,NA,NA,0,1,1,1,NA,0,NA,NA,1,0,0,0,1,1,1,0,1,NA,NA,1,1,1,0,NA,NA,1,1,1,1,0,1,1,1,1,1,0,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,0,1,NA,NA,1,1,0,NA,0,NA,0,NA,1,1
"BENNY (D NJ-9)",1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,NA,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,1,0,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"MCDERMOTT (D NJ-10)",1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,0,1,1,1,1,1,NA
"SCUDDER (D NY-1)",1,0,0,0,0,NA,NA,1,NA,NA,1,1,0,0,0,NA,1,0,0,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,NA,1,0,0,1,NA,1,NA,1,1,1,0
"LINDSAY (D NY-2)",1,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,1,1,NA,1,0,0,1,NA,NA,0,1,0,NA,1,1,NA,NA,NA,1,NA,1,NA,0,0,0,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,NA,NA,NA,NA,1,NA,1,0,0,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA
"DUNWELL (R NY-3)",1,1,1,1,1,NA,1,0,NA,NA,NA,0,1,0,NA,NA,0,1,1,1,0,0,1,1,NA,NA,0,0,1,NA,NA,1,1,0,NA,1,1,1,0,NA,1,1,NA,1,1,0,1,1,1,1,1,0,1,1,NA,1,1,1,NA,NA,1,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,1,NA,NA,1,1,0,NA,0,NA,0,0,1,1
"WILSON (D NY-4)",1,0,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"BASSETT (D NY-5)",1,0,0,0,0,NA,NA,1,0,1,NA,NA,NA,0,0,NA,1,0,0,0,1,NA,0,1,NA,NA,1,1,NA,NA,NA,NA,0,1,NA,0,0,0,1,NA,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,1,0,0,1,1,1,0,0,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,0,0,1,0,1,NA,1,1,0,0
"BAKER (D NY-6)",1,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,0,0,1,0,0,1,NA,NA,0,1,NA,1,NA,1,0,NA,NA,NA,NA,1,NA,NA,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,NA,NA,0,0,0,1,1,1,1,0,0,NA,0,1,0,1,1,0,0
"FITZGERALD (D NY-7)",1,0,NA,NA,0,0,0,1,0,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,1,1,0,1,1,0,0,NA,NA,0,0,0,1,NA,NA,NA,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,NA,NA,1,0,0,0,0,1,1,NA,1,0,0,1,0,1,1,1,1,0,0
"SULLIVAN (D NY-8)",1,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOLDFOGLE (D NY-9)",1,0,0,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,1,1,NA,NA,NA,0,NA,1,1,0,1,1,NA,0,NA,NA,NA,0,0,1,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,1,0,NA,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,1,1,NA,1,0,0,1,NA,1,NA,1,1,1,NA
"SULZER (D NY-10)",1,0,0,0,0,0,0,1,0,1,NA,1,0,NA,NA,0,1,0,0,1,NA,NA,NA,NA,NA,NA,1,1,0,1,1,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,0,0,1,1,1,NA,1,1,1,0
"HEARST (D NY-11)",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCCLELLAN (D NY-12)",1,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COCKRAN (D NY-12)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,NA,1,NA,NA,NA,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,1,0,0,NA,NA,NA,1,NA,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA
"HARRISON (D NY-13)",1,0,0,0,0,0,0,1,0,1,1,1,0,NA,0,NA,1,0,0,0,NA,NA,0,NA,0,1,NA,NA,NA,1,1,NA,0,1,0,0,0,0,1,NA,NA,NA,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,NA,NA,1,NA,1,1,1,NA
"RIDER (D NY-14)",1,0,NA,NA,0,NA,0,1,0,1,NA,1,0,NA,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,0,0,1,NA,0,0,0,NA,0,1,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,1,NA,NA,1,0,NA,NA,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0
"DOUGLAS (R NY-15)",1,1,1,1,1,NA,1,0,NA,NA,NA,NA,NA,NA,0,1,0,1,1,1,NA,NA,NA,NA,1,NA,0,0,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,0,1,1,0,1,0,1,NA,1,0,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,0,0,NA,NA,NA,0,1,NA,NA,1,1,NA,NA,NA,0,0,NA,0,NA
"RUPPERT (D NY-16)",1,0,NA,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,0
"SHOBER (D NY-17)",1,0,0,0,0,0,0,1,0,1,NA,NA,NA,0,NA,0,1,0,0,1,1,NA,0,NA,0,NA,1,1,0,1,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,NA,NA,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,0,1,1,1,1,NA,NA
"GOULDEN (D NY-18)",1,0,NA,NA,0,NA,0,1,NA,NA,NA,1,1,0,0,NA,1,0,0,1,1,NA,0,1,NA,1,1,1,0,NA,NA,1,0,NA,NA,0,0,0,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,1,1,1,1,0,NA,0,1,NA,NA,0,0,1,0,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,0
"OTIS (R NY-19)",1,1,1,1,1,1,1,0,1,0,NA,0,1,0,1,NA,0,1,1,1,NA,0,1,1,NA,NA,0,0,1,1,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,0,1,NA,NA,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRADLEY (R NY-20)",1,1,1,1,1,1,1,0,NA,NA,0,0,1,0,NA,NA,0,1,1,NA,0,0,NA,NA,1,NA,NA,0,1,NA,NA,1,1,1,NA,NA,NA,1,0,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,0,0,1,NA,1,1,NA,NA,NA,1,1,0,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA
"KETCHAM (R NY-21)",1,1,1,1,1,1,1,0,1,NA,NA,NA,NA,0,1,NA,0,1,1,NA,NA,0,1,1,1,0,NA,NA,NA,NA,NA,0,1,0,NA,1,1,NA,NA,1,1,1,NA,1,1,0,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,0,0,0,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,0,NA,0,0,NA,NA
