"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94","Vote 95","Vote 96","Vote 97","Vote 98","Vote 99","Vote 100","Vote 101","Vote 102","Vote 103"
"UNDERHILL (R MA-9)",1,NA,1,1,1,0,1,1,1,0,1,0,1,1,1,NA,1,0,0,NA,NA,1,0,1,1,1,1,0,1,NA,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,NA
"DOUGLASS (D MA-10)",1,1,1,NA,NA,1,0,0,0,0,1,0,1,NA,1,0,0,NA,1,0,NA,NA,NA,NA,0,0,NA,1,0,1,0,0,1,0,1,1,0,0,1,NA,NA,NA,NA,0,1,1,0,0,NA,1,0,1,0,0,0,0,NA,NA,0,0,NA,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,0,NA,NA,NA,NA
"TINKHAM (R MA-11)",1,0,1,1,1,0,1,0,NA,1,1,0,1,1,1,NA,1,0,0,NA,1,1,0,1,NA,1,1,0,1,NA,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,NA,1,1,1,NA,1,1,0,0,NA,0,1,NA,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,NA,0,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,1,1,0,0,1,NA,NA
"MC (D MA-12)",1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,NA,NA,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,NA,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,NA,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0
"LUCE (R MA-13)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,NA,1,0,0,NA,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1
"WIGGLESWORT (R MA-14)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,NA,1,1,0,1,1,1,1,0,NA,0,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,0,1,1,1,1,1,NA,NA,NA,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,NA,NA,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1
"MARTIN (R MA-15)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,NA,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,NA,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,NA,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,NA,NA
"GIFFORD (R MA-16)",NA,1,1,1,1,0,1,1,1,0,1,NA,1,NA,1,NA,1,0,1,1,1,1,0,1,1,1,1,NA,1,1,0,1,0,0,1,1,0,0,NA,NA,NA,NA,NA,0,1,1,1,1,NA,NA,NA,NA,1,1,NA,0,1,1,1,1,NA,1,1,NA,1,0,1,NA,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,NA,0,1,1,NA,NA
"CLANCY (R MI-1)",1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,NA,NA,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,NA,0,NA,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,NA,0,NA,0,0,0,1,0,0,1,0,1,1,1,1,NA,NA,1,1,1,1,1,1,1,NA,NA
"MICHENER (R MI-2)",1,1,1,1,1,0,1,1,1,0,1,0,1,NA,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1
"HOOPER (R MI-3)",1,1,1,1,1,0,1,1,1,0,1,0,1,NA,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,NA,NA,NA,0,NA,NA,1,1,1,0,0,NA,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
"KETCHAM (R MI-4)",1,1,1,1,1,0,1,1,1,0,1,0,1,NA,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,NA,NA,1,1,NA,NA,1,NA,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0
"MAPES (R MI-5)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1
"HUDSON (R MI-6)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,NA,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,1,1,1,NA,NA,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,NA,1,1,NA,1,1,1,1,1,0,1,NA,0,0,0,NA,NA,0,NA,1,0,0,1,1,1,0,0,1,0,1,0,1,NA,1,1,1
"CRAMTON (R MI-7)",1,1,1,1,1,0,1,1,1,0,1,0,1,NA,1,0,1,0,0,1,1,1,0,NA,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,NA
"VINCENT (R MI-8)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,NA,0,1,0,1,1,1,NA,NA,NA,1,1,NA,0,1,1,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,NA,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
"MC (R MI-9)",1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,NA,0,1,0,1,NA,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,NA,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
"WOODRUFF (R MI-10)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,NA,NA,NA,1,NA,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,NA,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,NA,1,1,NA,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,NA,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,NA,NA
"BOHN (R MI-11)",1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,NA,0,NA,NA,1,1,NA,NA,1,NA,NA,0,NA,NA,NA,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,NA,NA
"JAMES (R MI-12)",1,1,0,1,1,0,1,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,0,1,0,1,1,0,1,NA,NA,1,1,1,1,1,NA,0,0,0
"MC (R MI-13)",1,1,1,1,1,0,1,1,1,0,1,0,1,NA,1,NA,1,0,0,NA,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,NA,NA,NA,0,1,1,1,1,1,NA,0,1,1,0,NA,0,0,1,1,1,NA,NA,1,1,1,0,1,0,1,1,NA,1,1,NA,1,NA,0,0,NA,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
"CHRISTGAU (R MN-1)",NA,1,1,1,1,0,0,0,0,0,1,1,0,0,1,NA,NA,NA,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,NA,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,NA,1,1,1,0,0,1,1,1,1,1,1,0,1,NA,1,1,1,1,NA,1,1,1,0,0
"CLAGUE (R MN-2)",1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,NA,NA,NA,0,1,1,0,0,NA,0,0,1,1,1,NA,1,1,0,1,0,NA,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,1,1,1,1,0,1,1,1,1,1,1,1,1,NA,0,NA,NA
"ANDRESEN (R MN-3)",1,1,1,1,1,0,0,1,1,0,1,1,1,0,NA,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,NA,0,0,1,NA,0,1,1,1,1,1,1,0,1,0,NA,1,1,1,1,0,1,NA,1,1,1,1,1,1,1,1,0,NA,NA,0,0,0,NA,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
"MAAS (R MN-4)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,NA,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,NA,NA,NA,NA,1,0,1,1,0,1,1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,1,1,0,0,1,0,1,NA,NA,1,1,1,1,1,1,1,0,0
"NEWTON (R MN-5)",1,NA,1,NA,NA,0,1,1,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NOLAN (R MN-5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,0,NA,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,NA,1,0,0,1,0,1,0,1,1,1,1,NA,1,1,1,0,0
"KNUTSON (R MN-6)",1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,NA,1,0,0,1,1,1,NA,NA,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,NA,NA,1,1,1,1,0,0,0,0,0,0,NA,NA,0,1,0,1,NA,1,1,0,0,0,1,0,NA,NA,1,0,0,1,1
"KVALE (Farmer-Labor MN-7)",NA,1,NA,0,0,1,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KVALE (Farmer-Labor MN-7) 5384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,NA,NA,0,0,1,NA,0,1,1,1,1,NA,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,NA,1,NA,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0
"PITTENGER (R MN-8)",1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,NA,1,1,1,1,1,1,1,1,0,0,0,0,1,1,NA,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,NA,NA
"SELVIG (R MN-9)",1,1,1,1,1,0,0,1,1,0,1,1,0,NA,1,0,1,NA,0,NA,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,NA,NA,0,1,1,1,NA,1,0,0,0,0,NA,NA,NA,NA,1,0,1,NA,NA,NA,1,1,1,1,1,1,0,1,0,0,0,0,0,0,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"GOODWIN (R MN-10)",1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,NA,1,NA,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,NA,0,0,1,1,1,1,1,1,0,1,0,NA,1,1,1,1,0,1,1,1,1,NA,1,1,NA,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,NA,NA,NA,NA
"RANKIN (D MS-1)",1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"DOXEY (D MS-2)",1,1,0,0,0,1,0,0,0,1,0,1,0,NA,0,1,0,NA,NA,NA,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,NA,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0
"WHITTINGTON (D MS-3)",1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,NA,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0
"BUSBY (D MS-4)",1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,NA,0,NA,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,0,0,0,1,0,1,1,0,NA,1,NA,0,0,0,0,1,0,NA,0,1,1,1,1,0,NA,0,0,1,0,1,1,1,1,1,1,1,NA,0,1,0,1,1,1,1,1,1,NA,NA,0,1,0,0,1,1,0,0,0
"COLLINS (D MS-5)",NA,1,0,0,0,1,0,0,0,1,0,1,0,0,0,NA,0,0,1,1,0,1,1,0,0,0,0,0,NA,NA,NA,0,NA,1,1,1,1,1,1,0,0,NA,0,1,NA,NA,0,0,NA,1,0,1,NA,NA,NA,1,NA,0,0,0,0,1,0,1,1,NA,1,1,1,NA,0,0,0,NA,0,1,1,1,NA,NA,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0
"HALL (D MS-6)",1,1,0,0,0,1,0,0,0,1,0,1,0,NA,0,NA,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,NA,NA,1,1,1,1,0,1,0,0,NA,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,NA,NA,NA,NA,NA,0,1,NA,0,1,1,0,0,0
"QUIN (D MS-7)",1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,NA,1,1,1,1,1,0,0,1,NA,0,1,1,1,NA,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,NA,NA,0,NA,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0
"COLLIER (D MS-8)",1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,NA,0,1,0,1,1,1,1,NA,0,1,1,1,NA,NA,NA,0,0,1,1,0,1,1,1,1,1,0,0,0,0,NA,NA,0,NA,NA,NA,NA,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,NA,1,0,1,1,1,1,NA,NA,NA,1,1,0,1,1,0,0,0
"ROMJUE (D MO-1)",1,0,0,0,0,1,0,0,0,1,0,1,0,NA,0,1,0,0,1,0,NA,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,NA,0,1,1,1,1,1,0,0,1,0,0,0,0
"LOZIER (D MO-2)",1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,NA,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,NA,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,NA,1,0,0,0,0
"MILLIGAN (D MO-3)",1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,NA,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,NA,0,1,1,1,NA,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,NA,NA,0,NA,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"HOPKINS (R MO-4)",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,NA,1,0,0,1,1,1,0,1,1,1,1,0,1,NA,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,NA,1,1,0,1,NA,1,1,1,1,1,1,1,0,1,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,NA,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1
"ELLIS (R MO-5)",1,1,1,1,1,0,1,1,1,0,1,0,1,NA,1,NA,1,NA,1,NA,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,1,1,1,NA,0,0,1,1,1,NA,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,NA,0,NA,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,NA,NA
"HALSEY (R MO-6)",1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,NA,NA,1,1,0,NA,NA
"PALMER (R MO-7)",1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,NA,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,NA,NA
"NELSON (D MO-8)",1,0,0,0,0,1,0,0,0,1,1,1,0,NA,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,NA,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0
"CANNON (D MO-9)",1,0,0,0,0,1,0,0,0,1,1,1,0,NA,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,0,0,NA,1,0,1,1,1,0,1,NA,NA,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0
"NIEDRINGHAU (R MO-10)",1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,0,NA,NA,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,NA,1,0,NA,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,NA,NA
"COCHRAN (D MO-11)",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0
"DYER (R MO-12)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,NA,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,1,0,1,1,NA,1,0,1,0,0,NA,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,NA,NA,0,0,0,1,1,0,1,1,1,0,1
"KIEFNER (R MO-13)",1,1,1,1,1,0,1,1,1,0,1,0,1,NA,1,NA,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,NA,NA,NA,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,NA,NA,0,1,NA,1,1,NA,1,1,1,1,1,NA,NA,0,0,0,0,NA,1,0,NA,1,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"SHORT (R MO-14)",1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,NA,0,1,0,1,0,0,0,1,0,NA,1,0,1,1,1,1,0,0,1,1,1,1,NA,1,1,0,0
"MANLOVE (R MO-15)",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,NA,NA,NA,NA,NA,1,1,1,0,0,1,NA,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,NA,NA,1,NA,0,1,NA,1,NA,0,0,NA,1,1,1,1,1,1,1,0,1,NA,1,1,NA,1,1,1,1,1,0,0,0,0,0,0,NA,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,NA,NA
