"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94"
"MCDUFFIE (NA SC-5)",0,1,1,0,0,1,0,0,0,0,NA,NA,1,1,NA,NA,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,NA,1,0,1,0,0,0,1,1,0,0,0,0,0,1,NA,NA,0,1,NA,NA,NA,1,1,NA,1,0,1,1,1,1,1,1,NA,1,0,1,0,1,1,0,1,1,1,0,NA,0,0,0,1,0,1,1,0,NA,NA,1,NA
"WILSON (NA SC-6)",1,0,0,1,1,0,1,1,0,0,1,NA,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,NA,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,NA,1,0,NA,1,NA,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1
"GIST (NA SC-7)",1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,NA,0,1,0,0,0,NA,0,0,0,0,NA,1,0,1,1,1,0,1
"CARTER (NA SC-8)",0,1,1,0,0,1,NA,0,1,1,NA,1,NA,0,NA,NA,0,1,1,0,1,1,0,0,1,1,1,0,0,1,NA,1,1,NA,0,1,1,1,0,1,0,0,1,1,1,0,0,0,NA,0,1,1,NA,NA,0,NA,NA,1,0,NA,0,1,0,1,1,1,1,1,1,NA,1,NA,1,0,NA,1,0,NA,NA,1,1,0,0,0,0,NA,NA,1,1,0,0,1,NA,NA
"TUCKER (NA SC-9)",1,0,0,1,1,0,1,1,0,0,1,NA,1,0,1,0,1,1,1,0,1,1,0,NA,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,1
"BLAIR (NA TN-1)",1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,NA,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,NA,NA,NA,0,0,0,0,1,0,1,1,1,0,1,NA,1,0,0,1,1,0,1,0,0,0,1,0,NA,1,NA,0,1,NA,0,1,1,0,1,1,0,1,0,1,1,1,1
"COCKE (NA TN-2)",0,0,0,1,NA,NA,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,NA,NA,1,0,0,1,1,0,0,1,NA,0,1,0,1,1,0,1,1,1,NA,0,0,NA,0,0,0,0,1,0,0,0,1
"STANDIFER (NA TN-3)",1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,NA,0,1,1,0,1,1,1,1,0,1,1,1,1
"ISACKS (NA TN-4)",1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1
"ALLEN (NA TN-5)",1,1,1,0,0,1,NA,0,0,1,0,0,NA,0,NA,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,NA,NA,NA,0,0,0,0,1,1,0,1,NA,0,1,0,1,0,0,1,1,0,1,0,NA,1,0,1,1,0,1,NA,1,1,NA,1,1,1,NA,NA,1,1,0,1,1,1,1
"SANDFORD (NA TN-6)",1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,NA,1,1,0,1,1,0,1,1,1,1,0,NA,1,1,NA
"HOUSTON (NA TN-7)",1,1,1,0,0,1,1,0,0,0,0,NA,NA,0,1,1,NA,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,NA,0,1,0,1,1,0,1,1,NA,NA,0,0,1,NA,0,1,0,0,0,1,1,1,1,1,1,1,1,0,NA,1,1,1,1,1,1,0,1,1,1,1
"REYNOLDS (NA TN-8)",1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,NA,NA,NA,NA,1,1,1,1,1,NA,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,NA,1,1,1,1,1,NA,1,1,1,1,1,0,0,1,0,1,1,1
"ALEXANDER (NA TN-9)",1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,NA,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,NA,NA,NA,NA,0,0,0,0,1,1,0,1,1,0,1,NA,0,0,0,1,0,0,1,0,0,0,1,0,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,0,1,1,1,1
"CRAFTS (NA VT-98)",0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
"BUCK (NA VT-98)",0,0,0,NA,1,0,1,1,0,0,1,NA,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,NA,0,NA,1,NA,NA,0,1,1,0,1,1,0,0,0,1,0,NA,0,1,0,NA,1,NA,NA,0,0,0,0,0,0,0,NA,1,1,0,NA,NA,NA,1
"BRADLEY (NA VT-98)",0,0,0,1,1,0,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA,0,1,0,0,NA,1,0,1,0,1,1,0,0,0,1,NA,1,1,1,NA,0,NA,1,1,0,0,0,1,1,0,NA,NA,NA,0,0,NA,1,1,NA,NA,0,NA,1,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,1,0,1,0,0,1,NA,NA,NA,0
"MALLARY (NA VT-98)",1,1,0,1,1,0,1,0,1,0,0,0,1,NA,0,1,NA,NA,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,NA,NA,1,NA,1,1,1,0,0,NA,1,0,1,1,1,0,0,1,0,NA,0,1,0,NA,0,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,0,0,1,0,1,NA,0
"RICH (R VT-98)",0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLIN (NA VT-98)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,1,0,0,0,0,1,0,1,1,0
"NEWTON (NA VA-1)",1,1,1,0,0,1,NA,0,NA,1,NA,0,1,1,0,1,1,0,1,0,1,1,NA,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,NA,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,NA,1,1,0
"SMITH (NA VA-2)",1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,NA,NA,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,NA,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
"ARCHER (NA VA-3)",1,1,0,1,1,0,1,1,NA,1,0,0,1,1,1,1,0,NA,1,0,1,1,NA,NA,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,NA,0,1,0,NA,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,NA,1,1,0,0,NA,0,NA,0,1,1,0,1,1,NA,0
"ALEXANDER (NA VA-4)",0,0,0,1,1,0,1,1,0,1,NA,0,1,1,NA,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,NA,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,NA,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1
"RANDOLPH (NA VA-5)",0,0,0,1,1,0,1,1,NA,NA,NA,NA,1,0,1,NA,NA,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,1,0,NA,NA,NA,NA
"TUCKER (NA VA-6)",NA,1,0,1,NA,0,1,1,0,1,NA,NA,1,1,1,NA,1,NA,1,0,1,1,0,0,0,1,1,0,NA,1,1,1,1,1,0,1,1,1,1,1,0,0,1,NA,1,0,0,0,1,0,0,0,1,1,1,NA,0,1,0,0,1,1,NA,1,1,1,1,1,1,NA,1,1,1,0,NA,NA,NA,NA,0,1,1,NA,0,0,1,0,0,0,0,1,0,1,NA,NA
"LEFTWICH (NA VA-7)",1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,NA,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1
"BASSETT (NA VA-8)",0,0,0,1,1,0,1,1,0,NA,0,0,0,0,1,1,1,1,1,0,1,1,0,0,NA,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,0,0,1,1,1,NA,1
"STEVENSON (NA VA-9)",1,0,0,1,1,0,1,1,0,1,NA,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,NA,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,NA,0,NA,1,1,NA,0,0,0,1,0,0,0,0,1,1,1,0,1
"RIVES (NA VA-10)",0,NA,NA,1,1,0,NA,NA,NA,1,0,NA,1,1,0,NA,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,NA,NA,0,NA,NA,NA,NA,0,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,NA,NA
"BARBOUR (NA VA-11)",NA,1,0,1,1,0,1,1,0,1,0,NA,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,NA,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1
"GARNETT (NA VA-12)",NA,1,NA,1,1,0,1,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,1,0,1,1,NA,NA,0,1,1,0,0,NA,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,NA,1,1,1,1,0,NA,0,1,0,1,0,1,NA,1,1,1,1,1,1,1,0,0,1,0,NA,1,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALL (NA VA-13)",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TALIAFERRO (NA VA-13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,NA,0,0,1,0,1,0,0,1,0,1,0,1,1,NA,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,NA,0,0,1,NA,NA,1,0
"MERCER (NA VA-14)",NA,1,1,0,0,1,NA,0,NA,NA,NA,0,0,1,0,0,NA,1,1,0,1,1,NA,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,NA,1,NA,1,1,1,0,NA,1,1,1,1,0,1,1,1,1,1,1,1,0,NA,1,0,NA,1,1,NA,NA,1,NA,0,1,1,0,1,1,0,0,1,1,1,1,NA
"BARBOUR (NA VA-15)",1,1,1,0,0,1,NA,NA,NA,0,1,0,1,1,1,NA,NA,NA,1,0,1,1,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,1,0,1,NA,0,1,0,NA,NA,NA,NA,NA,1,1,NA,0,1,0,1,1,0,1,0,NA,1,0,1,1,1,NA,1,NA,1,0,1,1,0,NA,1,1,NA,1,NA,1,1,NA,1,1,1,0,1,1,NA,NA
"STEPHENSON (NA VA-16)",NA,1,1,0,0,1,0,0,0,NA,NA,0,1,0,1,NA,NA,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,NA,0,1,1,1,NA,NA,1,1,0,1,1,NA,1,1,0,1,1,1,1,NA,NA,0,1,0,1,0,1,1,0,1,1,1,1,NA,1,1,1,1,1,0,0,1,1,1,1,1
"WILLIAMS (NA VA-17)",0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
"JOHNSON (NA VA-18)",1,0,1,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,NA,NA,NA,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,NA,NA,NA,0,0,1,1,1,1,NA,0,1,1,1,1,1,1
"MCCOY (NA VA-19)",0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,NA,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,1
"FLOYD (NA VA-20)",1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,NA,NA,0,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,NA,1,1,1,NA,0,NA,0,NA,NA,0,1,0,1,1,NA,NA
"SMITH (NA VA-21)",1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,NA,NA,1,NA,1,NA,0,1,1,0,1,1,0,1,0,1,1,1,1
"SMYTH (NA VA-22)",1,0,0,1,1,0,NA,NA,NA,NA,1,NA,1,0,1,NA,0,0,1,0,1,1,NA,NA,1,1,0,0,NA,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,NA,0,1,NA,NA,1,NA,NA,1,0,0,1,NA,0,1,1,0,1,1,1,0,0,1,1,0,NA,NA,0,1,0,1,1,NA,NA,0,NA,0,0,1,1,NA,1,1,1,NA
